epoch,validation_loss,batch_size,learning_rate,unfreeze_option,weight_decay,augument
13,1.9007824536916371,32,0.001,last_two,0.0025,True
14,1.8979493824211326,32,0.001,last_two,0.0025,True
15,1.9013556238767264,32,0.001,last_two,0.0025,True
1,1.9763336706805874,32,0.001,last_two,0.005,False
2,2.043607398948154,32,0.001,last_two,0.005,False
3,1.9035251842962728,32,0.001,last_two,0.005,False
4,1.9092568097887812,32,0.001,last_two,0.005,False
5,1.901780313092309,32,0.001,last_two,0.005,False
6,1.9010169193551347,32,0.001,last_two,0.005,False
7,1.8916807016810855,32,0.001,last_two,0.005,False
8,1.8950938598529712,32,0.001,last_two,0.005,False
9,1.9014116432215717,32,0.001,last_two,0.005,False
10,1.901685986969922,32,0.001,last_two,0.005,False
11,1.8914241220500019,32,0.001,last_two,0.005,False
12,1.8944440973771586,32,0.001,last_two,0.005,False
13,1.8884798169136048,32,0.001,last_two,0.005,False
14,1.8973605433025875,32,0.001,last_two,0.005,False
15,1.8864666252522855,32,0.001,last_two,0.005,False
1,1.9451741953153867,32,0.001,last_two,0.005,True
2,2.036527017644934,32,0.001,last_two,0.005,True
3,1.9259731247618392,32,0.001,last_two,0.005,True
4,1.9124254255681425,32,0.001,last_two,0.005,True
5,1.903358885404226,32,0.001,last_two,0.005,True
6,1.9014749514090048,32,0.001,last_two,0.005,True
7,1.90475923918389,32,0.001,last_two,0.005,True
8,1.9076879907298732,32,0.001,last_two,0.005,True
9,1.9158454895019532,32,0.001,last_two,0.005,True
10,1.8977213405274056,32,0.001,last_two,0.005,True
